language,description,url
nsis,NSIS,http://nsis.sourceforge.net/
numba_ir,Numba_IR,https://numba.readthedocs.io/en/stable/developer/architecture.html#stage-2-generate-the-numba-ir
numpy,NumPy,https://numpy.org/
nusmv,NuSMV,https://nusmv.fbk.eu
objdump,objdump,https://www.gnu.org/software/binutils
objdump-nasm,objdump-nasm,https://www.gnu.org/software/binutils
objective-c,Objective-C,https://developer.apple.com/library/archive/documentation/Cocoa/Conceptual/ProgrammingWithObjectiveC/Introduction/Introduction.html
objective-c++,Objective-C++,https://isocpp.org/
objective-j,Objective-J,https://www.cappuccino.dev/learn/objective-j.html
ocaml,OCaml,https://ocaml.org/
octave,Octave,https://www.gnu.org/software/octave/index
odin,ODIN,https://github.com/openEHR/odin
omg-idl,OMG Interface Definition Language,https://www.omg.org/spec/IDL/About-IDL/
ooc,Ooc,https://ooc-lang.github.io/
opa,Opa,http://opalang.org
openedge,OpenEdge ABL,https://www.progress.com/openedge/features/abl
openscad,OpenSCAD,https://openscad.org/
org,Org Mode,https://orgmode.org
output,Text output,
pacmanconf,PacmanConf,https://www.archlinux.org/pacman/pacman.conf.5.html
pan,Pan,https://github.com/quattor/pan/
parasail,ParaSail,http://www.parasail-lang.org
pawn,Pawn,https://www.compuphase.com/pawn/pawn.htm
pddl,PDDL,https://en.wikipedia.org/wiki/Planning_Domain_Definition_Language
peg,PEG,https://bford.info/pub/lang/peg.pdf
perl,Perl,https://www.perl.org
perl6,Perl6,https://www.raku.org
phix,Phix,http://phix.x10.mx
php,PHP,https://www.php.net/
pig,Pig,https://pig.apache.org/
pike,Pike,https://isocpp.org/
pkgconfig,PkgConfig,http://www.freedesktop.org/wiki/Software/pkg-config/
plpgsql,PL/pgSQL,https://www.postgresql.org/docs/current/plpgsql.html
pointless,Pointless,https://ptls.dev
pony,Pony,https://www.ponylang.io
portugol,Portugol,https://www.apoioinformatica.inf.br/produtos/visualg/linguagem
postgres-explain,PostgreSQL EXPLAIN dialect,https://www.postgresql.org/docs/current/using-explain.html
postgresql,PostgreSQL SQL dialect,https://www.postgresql.org
postscript,PostScript,https://en.wikipedia.org/wiki/PostScript
pot,Gettext Catalog,https://www.gnu.org/software/gettext
pov,POVRay,http://www.povray.org/
powershell,PowerShell,https://learn.microsoft.com/en-us/powershell
praat,Praat,http://www.praat.org
procfile,Procfile,https://devcenter.heroku.com/articles/procfile#procfile-format
prolog,Prolog,https://en.wikipedia.org/wiki/Prolog
promela,Promela,https://spinroot.com/spin/whatispin.html
promql,PromQL,https://prometheus.io/docs/prometheus/latest/querying/basics/
properties,Properties,https://en.wikipedia.org/wiki/.properties
protobuf,Protocol Buffer,https://developers.google.com/protocol-buffers/
prql,PRQL,https://prql-lang.org/
psql,PostgreSQL console (psql),https://www.postgresql.org
psysh,PsySH console session for PHP,https://psysh.org/
ptx,PTX,https://docs.nvidia.com/cuda/parallel-thread-execution/
pug,Pug,https://pugjs.org
puppet,Puppet,https://puppet.com/
pwsh-session,PowerShell Session,https://learn.microsoft.com/en-us/powershell
py+ul4,Python+UL4,https://python.livinglogic.de/UL4.html
py2tb,Python 2.x Traceback,https://python.org
pycon,Python console session,https://python.org
pypylog,PyPy Log,pypy.org
pytb,Python Traceback,https://python.org
python,Python,https://www.python.org
python2,Python 2.x,https://www.python.org
q,Q,https://code.kx.com
qbasic,QBasic,https://en.wikipedia.org/wiki/QBasic
qlik,Qlik,https://qlik.com
qml,QML,https://doc.qt.io/qt-6/qmlapplications.html
qvto,QVTO,https://www.omg.org/spec/QVT/1.1
